mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
1,13,3,UA,1244,SJC,1829,13.33,253,-11
2,31,1,OO,6123,ORD,286,13.08,78,263
1,28,4,AA,761,ORD,258,10.75,65,11
2,25,2,OO,6238,ORD,344,9.55,79,84
10,12,3,AA,1904,ORD,1197,17.83,180,52
5,22,0,WN,2188,SFO,337,13.17,80,4
4,3,6,AA,428,TUS,813,8.42,125,84
6,31,4,UA,1567,ORD,1515,19.93,231,2
1,26,2,AA,1704,ORD,719,9.25,120,83
1,18,1,AA,394,ORD,733,6.83,120,47
11,13,6,B6,375,LGA,1076,9.58,188,-35
7,14,4,UA,831,ORD,1846,7.05,267,8
10,10,1,AA,753,LGA,1389,14.25,255,35
11,23,2,UA,322,SFO,679,10.57,129,31
0,29,2,UA,107,ORD,1745,9.08,268,39
8,20,6,UA,909,ORD,888,15,151,53
4,5,1,OO,5478,SFO,250,11.67,81,21
10,5,3,UA,1568,ORD,1012,18.18,159,77
10,2,0,AA,257,JFK,2248,16.75,360,84
2,15,6,UA,54,SFO,1846,6,251,-4
11,14,0,AA,444,ORD,867,10.25,130,-4
3,25,5,AA,381,LGA,733,21,140,716
1,15,5,OO,5560,SFO,77,6.48,39,0
8,1,1,OO,6790,ORD,240,7.35,71,-6
9,7,2,WN,2731,SMF,605,18.25,110,-12
3,15,2,OH,5160,JFK,288,14.98,91,-5
1,11,1,AA,337,LGA,733,15.67,165,114
1,1,5,AA,1994,SFO,1464,9.42,200,128
10,4,2,AA,2060,SMF,1431,13.17,200,-23
5,24,2,OH,5196,LGA,461,8.92,116,54
11,7,0,OO,6011,ORD,323,10.62,77,47
7,27,3,B6,1016,JFK,187,19.08,93,184
5,25,3,OH,5635,LGA,563,11,119,56
2,2,0,OO,6001,ORD,416,15.42,89,161
11,27,6,OO,4902,SJC,585,17.5,113,37
3,11,5,UA,888,SFO,337,11.25,86,12
2,22,6,AA,1904,ORD,1197,17.83,180,-2
5,27,5,AA,181,JFK,2475,16.92,395,289
6,28,1,AA,2099,ORD,1745,7.25,250,NA
7,23,6,OH,5462,LGA,478,9.08,127,-15
10,30,0,AA,333,ORD,258,16.67,70,63
8,13,6,UA,679,ORD,1723,15.25,260,32
2,21,5,AA,2345,ORD,802,18.17,155,158
1,19,2,OH,5246,JFK,508,8.58,143,-11
7,18,1,OO,5557,SFO,77,9.02,46,76
11,31,3,OO,6058,ORD,717,6.05,120,-13
5,16,1,AA,2345,ORD,802,17.83,145,4
11,27,6,UA,667,LGA,733,6,143,75
7,28,4,WN,1493,SMF,480,12.25,85,-10
2,25,2,AA,2353,ORD,802,19.33,145,77
8,22,1,US,2134,LGA,185,16,73,24
5,16,1,OO,6017,ORD,588,8.2,117,182
0,11,5,WN,1774,SJC,386,6.83,80,-6
7,22,5,UA,798,ORD,528,19.68,106,42
4,25,0,B6,12,JFK,209,15.25,81,-2
8,4,4,B6,22,JFK,209,22.58,83,-16
7,24,0,B6,643,JFK,2586,10.75,370,2
7,19,2,AA,1331,ORD,1671,9.92,245,-15
7,4,1,AA,2456,ORD,678,13.33,125,90
10,23,0,B6,377,LGA,1076,13.42,179,9
2,27,4,B6,640,SFO,2586,8,325,-17
7,17,0,AA,356,ORD,733,9.42,130,-6
6,3,4,AA,471,ORD,1846,10.08,270,-11
0,20,0,AA,2013,ORD,1515,7.42,230,NA
2,4,2,UA,622,ORD,612,17,106,21
2,30,0,UA,220,SFO,2419,16.08,305,12
7,16,6,WN,489,SMF,397,18.25,80,40
11,10,3,OH,6490,ORD,264,7.65,81,26
0,8,2,US,10,ORD,1440,18.83,233,NA
7,7,4,WN,1416,SMF,389,7.58,75,-1
2,25,2,UA,624,ORD,612,18,106,60
7,6,3,OH,5437,LGA,1011,14.48,176,27
5,5,4,AA,350,ORD,733,18.08,140,100
1,1,5,OH,5357,LGA,604,21.58,133,NA
10,26,3,AA,2218,SJC,1438,10.92,200,25
8,14,0,UA,608,ORD,612,10.08,105,31
5,23,1,US,2136,LGA,185,17,76,NA
0,29,2,AA,14,OGG,2486,22.25,300,-23
2,16,0,AA,1544,SFO,1846,10.92,255,-6
7,6,3,WN,1802,SJC,333,21.83,70,24
11,31,3,AA,2420,ORD,1120,6.58,170,-22
5,20,5,AA,1418,TUS,813,13.08,140,42
0,6,0,WN,627,SMF,389,9.75,75,-10
6,10,4,AA,2019,LGA,887,20.42,155,34
4,22,4,US,1247,LGA,544,8.25,120,113
8,19,5,OH,6625,LGA,610,21.85,127,20
2,19,3,B6,263,SMF,387,11.17,80,5
0,11,5,UA,403,LGA,1619,7.98,274,-7
1,28,4,B6,115,JFK,1182,18.5,225,-40
6,5,6,AA,2450,SFO,337,12.08,85,4
1,23,6,OO,5450,SFO,77,15.13,43,225
3,24,4,UA,403,LGA,1619,8.02,264,26
9,14,2,WN,1112,SMF,373,15.83,80,-5
8,29,1,AA,294,ORD,1197,10.08,180,4
1,5,2,OO,6040,ORD,584,19.5,111,NA
3,29,2,OO,6485,ORD,438,18.5,97,-11
2,27,4,UA,1224,ORD,678,9.5,116,-11
8,28,0,US,2136,LGA,185,17,78,NA
8,3,3,US,2116,LGA,185,7,66,-8
6,13,0,UA,1184,SFO,967,6,143,19
4,28,3,UA,240,SJC,2400,7.5,313,-29
4,12,1,AA,1622,SJC,342,16,75,44
1,7,4,OH,5203,JFK,1522,17.58,320,-69
4,9,5,UA,532,ORD,867,10.58,136,16
3,18,5,WN,430,SMF,480,9.42,85,1
7,6,3,B6,171,JFK,2521,19.5,382,56
3,24,4,UA,9,JFK,2586,21.25,401,-13
10,3,1,US,2163,LGA,214,7,75,15
7,19,2,UA,837,JFK,2586,7.2,375,-6
5,10,2,B6,707,JFK,1597,20.67,247,152
1,28,4,UA,383,SFO,447,12.2,89,89
11,31,3,UA,188,SFO,2521,22.52,328,-28
7,11,1,WN,2321,SJC,296,18.67,60,-8
5,12,4,OH,5417,LGA,610,20,133,25
5,11,3,AA,1561,ORD,1846,18.58,270,82
4,23,5,WN,2497,SFO,447,18,85,40
7,3,0,OO,5525,SFO,86,13.38,50,-12
11,20,6,OO,5726,SFO,462,9.45,122,49
4,22,4,UA,460,ORD,723,14.28,122,24
2,4,2,B6,713,JFK,1597,6,224,-16
7,6,3,UA,687,LGA,733,16,169,-2
2,10,1,OO,5904,ORD,224,19.92,65,17
8,8,1,UA,512,ORD,594,13.18,103,7
3,3,4,UA,931,SFO,337,19.42,89,24
5,20,5,US,199,SJC,386,20.42,87,2
9,8,3,AA,337,LGA,733,15.33,155,16
8,9,2,OO,6408,SFO,451,13.17,87,100
3,20,0,AA,1242,SJC,1438,6.33,210,-9
8,18,4,WN,464,SFO,1855,17.92,235,41
7,15,5,UA,315,LGA,1619,15.68,280,NA
8,12,5,OH,6347,LGA,292,11.75,102,3
1,5,2,OO,5525,SFO,86,13,43,-5
5,2,1,US,343,ORD,1440,7.42,223,5
4,5,1,OO,5886,ORD,84,17.83,50,26
4,30,5,OO,5655,SMF,86,10.82,50,64
11,24,3,AA,2349,ORD,802,18.5,155,4
4,30,5,UA,479,SFO,679,18.53,118,-19
1,1,5,UA,1564,ORD,1144,18,170,118
2,8,6,UA,949,ORD,1721,17.32,262,17
2,7,5,AA,2019,LGA,887,19.75,170,104
11,15,1,UA,1600,SFO,192,15.92,64,55
2,31,1,WN,66,SMF,1790,12.5,230,33
4,23,5,WN,3306,SMF,373,11.75,85,43
4,4,0,AA,1635,JFK,1597,8.25,235,6
3,28,1,OO,6467,SMF,373,10.65,89,0
4,5,1,AA,1144,SFO,1464,13.25,210,16
11,23,2,UA,393,ORD,403,9.77,96,38
0,20,0,AA,386,ORD,733,8.75,120,-14
10,12,3,OO,6491,SMF,373,18.57,90,-18
10,25,2,UA,824,SFO,2704,13.17,332,-4
11,11,4,HA,11,SFO,2398,8.5,320,17
3,8,2,OO,5934,ORD,224,8.67,62,-14
7,2,6,OO,6386,SFO,522,13.17,96,18
0,27,0,OO,5830,ORD,760,19.5,125,-27
5,20,5,WN,2579,TUS,451,6.08,85,2
1,28,4,HA,525,OGG,100,10.58,34,-4
7,22,5,UA,640,ORD,606,21.5,115,0
5,7,6,WN,3117,SJC,621,18.25,115,-21
3,24,4,UA,265,ORD,1249,9.75,204,9
7,20,3,AA,2426,SJC,1438,18.83,200,67
10,18,2,AA,647,JFK,1090,11.33,200,-31
2,20,4,AA,510,ORD,235,19,75,18
4,16,5,US,415,ORD,1440,17.17,228,-42
2,25,2,OH,5375,JFK,264,9.33,105,-31
11,25,4,AA,455,ORD,1745,15.17,260,27
0,6,0,AA,1229,LGA,1035,8.42,190,-34
0,7,1,UA,710,SFO,192,22.58,59,25
3,19,6,B6,1315,JFK,228,22.08,90,-17
10,18,2,OO,6452,TUS,451,14.12,101,-28
6,19,6,OO,5905,ORD,1118,10.6,179,24
2,18,2,UA,302,ORD,723,19.65,119,63
0,25,5,AQ,73,OGG,100,11.75,34,-10
11,16,2,WN,2488,SMF,479,21.5,90,16
4,8,4,UA,315,LGA,1619,15.65,266,19
4,13,2,UA,1499,ORD,1440,14.92,229,27
1,22,5,B6,623,JFK,1428,8,253,NA
2,18,2,UA,684,ORD,733,14.07,138,NA
11,21,0,UA,528,ORD,867,9.28,138,52
5,11,3,OH,5637,JFK,508,16.17,140,42
3,26,6,B6,71,JFK,944,6.17,166,-20
10,3,1,UA,680,ORD,733,11.92,142,-10
8,20,6,UA,1453,ORD,837,17.48,135,15
7,11,1,US,4,ORD,1440,10.67,216,-1
9,15,3,UA,520,ORD,783,6.47,126,-12
11,26,5,OO,5903,ORD,588,20.23,112,NA
1,17,0,UA,610,ORD,612,11,103,NA
6,11,5,OO,5472,SFO,77,12.4,46,-17
4,11,0,UA,44,OGG,2486,13.2,313,8
5,11,3,UA,2,ORD,599,6.53,110,-9
11,23,2,AA,721,LGA,1389,10,270,-16
8,7,0,OO,5693,SFO,86,15.27,40,23
7,21,4,UA,929,ORD,1739,11.98,260,4
11,31,3,OO,6463,SMF,373,6.43,90,NA
1,6,3,UA,374,SFO,1504,10.92,204,-7
6,22,2,UA,472,ORD,528,12.97,101,52
11,23,2,UA,682,ORD,733,13.05,141,74
9,22,3,UA,872,SFO,2419,11.65,310,30
1,12,2,AA,739,LGA,1389,12,250,42
6,5,6,OO,6343,SFO,372,6.9,92,-15
1,14,4,B6,221,JFK,2465,8.42,375,23
6,9,3,AA,177,JFK,2586,17.42,370,28
5,20,5,WN,3572,SMF,479,11.08,85,-6
3,8,2,OO,5836,ORD,240,10.97,68,-19
4,12,1,UA,383,SFO,447,11.82,91,145
10,3,1,OO,5819,ORD,466,8.78,101,-20
11,19,5,B6,1014,JFK,187,17.33,94,NA
6,10,4,UA,543,ORD,1498,20.58,237,136
5,10,2,AA,739,LGA,1389,11.83,220,40
0,1,2,AQ,227,OGG,100,20,34,2
6,9,3,UA,23,JFK,2475,8.52,370,-17
7,4,1,B6,643,JFK,2586,10.75,370,-4
3,6,0,WN,78,SJC,386,16.17,80,17
3,29,2,WN,2799,SMF,397,8.08,80,-6
11,18,4,OH,6733,LGA,641,11,150,-2
4,26,1,WN,1997,SJC,417,15.42,80,-10
2,11,2,OO,5912,ORD,316,10.67,73,-10
6,23,3,UA,827,ORD,299,22.78,74,31
6,12,6,OO,5897,ORD,179,11.33,56,33
10,9,0,OH,6731,JFK,425,13.98,109,49
11,25,4,UA,858,SFO,337,9.88,98,19
4,2,5,UA,454,ORD,606,10.67,114,124
2,29,6,UA,1242,ORD,849,18.83,130,47
8,19,5,B6,1081,JFK,541,7.17,118,-6
8,17,3,AA,6,OGG,3711,17,420,6
3,27,0,OO,3926,TUS,601,17.75,110,-11
11,13,6,UA,598,SFO,967,7.78,151,70
7,1,5,B6,904,ORD,740,9.58,130,25
5,30,1,WN,1416,SMF,389,7.58,75,9
10,22,6,UA,437,ORD,403,8.95,91,17
6,17,4,AA,1544,ORD,612,18.17,110,-8
2,31,1,AA,363,LGA,733,20,155,80
2,18,2,UA,1161,ORD,1437,20.67,233,NA
6,19,6,AA,1194,SJC,1829,13.33,250,80
11,29,1,WN,1982,SJC,308,6.58,75,-4
1,20,3,OH,5131,LGA,478,8.75,131,45
7,22,5,AA,294,ORD,1197,11.08,183,26
10,27,4,B6,819,JFK,944,14.48,175,-22
6,29,2,US,401,ORD,1440,18.92,217,54
5,4,3,UA,75,SFO,2398,12.75,317,-7
7,12,2,OO,6037,ORD,462,21.23,99,-11
2,17,1,WN,3679,SJC,417,21.17,75,51
0,25,5,UA,245,ORD,888,9,163,5
10,2,0,OO,5903,ORD,588,20,112,-12
0,21,1,WN,1327,SMF,358,19.58,70,19
1,12,2,AA,1145,ORD,1249,11.42,210,85
0,18,5,AA,370,ORD,733,12.67,125,30
7,20,3,AA,1687,ORD,1739,10.42,260,-17
9,31,5,AA,485,ORD,585,20.5,110,-24
11,15,1,AA,532,ORD,177,19.83,65,-16
5,6,5,UA,894,SFO,967,8.67,158,-27
11,11,4,UA,19,JFK,2586,20.25,410,76
9,24,5,AA,1794,ORD,258,11.83,65,7
11,15,1,AA,1345,ORD,1745,14.08,275,42
